Fecha,uno,quincena
1,44.80927026,1
2,45.05224634,2
3,45.27254714,3
4,45.38607009,4
5,45.53044942,5
6,45.6310557,6
7,45.78634268,7
8,45.89369403,8
9,45.96631446,9
10,46.05644359,10
11,46.2299573,11
12,46.33788318,12
13,46.4337534,13
14,46.49503568,14
15,46.61587822,15
16,46.82369235,16
17,47.03423352,17
18,47.08790971,18
19,47.29514984,19
20,47.47512162,20
21,47.73216289,21
22,47.84855637,22
23,48.19285675,23
24,48.42248565,24
25,48.55968941,25
26,48.59126331,26
27,48.52754099,27
28,48.5591154,28
29,48.72387398,29
30,48.97775771,30
31,49.05066514,31
32,49.14380832,32
33,49.15543347,33
34,49.26450735,34
35,49.31717852,35
36,49.33554875,36
37,49.15902152,37
38,49.23752602,38
39,49.40745168,39
40,49.57177975,40
41,49.90589051,41
42,49.99487163,42
43,50.11944572,43
44,50.23282516,44
45,50.37232493,45
46,50.35782924,46
47,50.43590323,47
48,50.43375071,48
49,50.80101388,49
50,51.00007391,50
51,50.86703221,51
52,50.86846723,52
53,51.0157171,53
54,51.24032346,54
55,51.47135267,55
56,51.34322576,56
57,51.48358654,57
58,51.53927175,58
59,51.71981754,59
60,51.80549814,60
61,51.87284528,61
62,51.95003548,62
63,52.07851311,63
64,52.13912555,64
65,52.39659887,65
66,52.4468502,66
67,52.62454306,67
68,52.68204717,68
69,53.00324125,69
70,53.15399525,70
71,53.27418401,71
72,53.3456756,72
73,53.51456152,73
74,53.53631983,74
75,53.6161003,75
76,53.73214461,76
77,53.9440291,77
78,54.08183173,78
79,54.08804839,79
80,54.12224001,80
81,53.89895832,81
82,53.96164297,82
83,53.95076382,83
84,53.99946098,84
85,54.04556788,85
86,54.06162758,86
87,54.15953997,87
88,54.27092179,88
89,54.52787706,89
90,54.54808121,90
91,54.70194354,91
92,54.77447124,92
93,55.15057915,93
94,55.23450406,94
95,55.35780114,95
96,55.50233848,96
97,55.68521189,97
98,55.86342281,98
99,56.04215177,99
100,56.17373774,100
101,56.27734874,101
102,56.31931119,102
103,56.31775702,103
104,56.44778883,104
105,56.23694045,105
106,56.24678349,106
107,56.29858899,107
108,56.36490003,108
109,56.44882494,109
110,56.51047348,110
111,56.7254663,111
112,56.93061607,112
113,57.24507544,113
114,57.35075866,114
115,57.64605,115
116,57.74344433,116
117,58.11333559,117
118,58.26098126,118
119,58.34905061,119
120,58.26564375,120
121,58.31434092,121
122,58.30397982,122
123,58.40344638,123
124,58.6034156,124
125,58.72153214,125
126,58.81270982,126
127,58.85933476,127
128,59.09401367,128
129,58.84586533,129
130,58.81011954,130
131,58.72464047,131
132,58.81892647,132
133,58.98366796,133
134,59.02044986,134
135,59.06293037,135
136,59.0810623,136
137,59.29139262,137
138,59.32662036,138
139,59.43800218,139
140,59.4711577,140
141,59.86902392,141
142,59.89648084,142
143,60.14514723,143
144,60.35495949,144
145,60.54767595,145
146,60.65957582,146
147,60.70205633,147
148,60.69065912,148
149,60.71552576,149
150,60.82949786,150
151,60.84503951,151
152,60.87767697,152
153,60.57979536,153
154,60.60155367,154
155,60.64610639,155
156,60.64040779,156
157,60.7771743,157
158,60.84141312,158
159,61.02169626,159
160,61.21752104,160
161,61.58482202,161
162,61.88840224,162
163,62.06298677,163
164,61.95056884,164
165,62.26761849,165
166,62.39661418,166
167,62.63750974,167
168,62.7473374,168
169,62.95455939,169
170,63.07785648,170
171,63.16696193,171
172,63.21824938,172
173,63.26953682,173
174,63.38920752,174
175,63.25658545,175
176,63.32600481,176
177,63.00170239,177
178,62.96336633,178
179,63.01517182,179
180,63.10168701,180
181,63.25658545,181
182,63.39542418,182
183,63.52493793,183
184,63.64357252,184
185,64.03988458,185
186,64.1155206,186
187,64.32015232,187
188,64.33413981,188
189,64.74806574,189
190,64.81437677,190
191,64.9418183,191
192,65.15681112,192
193,65.33502203,193
194,65.36610533,194
195,65.44847607,195
196,65.64119252,196
197,65.95461579,197
198,66.08464759,198
199,66.12350171,199
200,66.21675161,200
201,66.04164903,201
202,66.15562112,202
203,66.34419313,203
204,66.40066113,204
205,66.65502612,205
206,66.82961065,206
207,67.03579653,207
208,67.21970605,208
209,67.51396128,209
210,67.65590835,210
211,67.98539132,211
212,68.10506202,212
213,68.74796825,213
214,68.88991531,214
215,69.20282052,215
216,69.3882842,216
217,69.4918952,217
218,69.42040361,218
219,69.5390382,219
220,69.67994916,220
221,69.89546003,221
222,70.12444033,222
223,70.22442494,223
224,70.28555543,224
225,70.04465987,225
226,70.05657513,226
227,70.15086114,227
228,70.20784719,228
229,70.34875814,229
230,70.3917567,230
231,70.46946495,231
232,70.60830369,232
233,70.88649921,233
234,70.89893253,234
235,71.14449059,235
236,71.06989067,236
237,71.44340832,237
238,71.5092013,238
239,71.6910386,239
240,71.8521537,240
241,72.38989477,241
242,72.71419719,242
243,72.84681926,243
244,73.09652176,244
245,73.43066722,245
246,73.54878376,246
247,73.32239373,247
248,73.18873555,248
249,72.79501376,249
250,72.79242349,250
251,72.76082213,251
252,72.78154433,252
253,72.88929977,253
254,72.96959829,254
255,73.0846065,255
256,73.17837445,256
257,73.47314773,257
258,73.55707264,258
259,73.9119403,259
260,74.0259124,260
261,74.53049795,261
262,74.5931826,262
263,74.73720189,263
264,75.12470701,264
265,75.255424,265
266,75.33655869,266
267,75.49131558,267
268,75.6656049,268
269,75.70241601,269
270,75.7437346,270
271,75.67537112,271
272,75.76026203,272
273,75.19231925,273
274,75.12545826,274
275,75.08413967,275
276,75.22612537,276
277,75.46351944,277
278,75.56944528,278
279,75.63405253,279
280,75.63705752,280
281,75.79707314,281
282,75.84440171,282
283,76.30942364,283
284,76.35675221,284
285,77.09447683,285
286,77.22218883,286
287,77.61283731,287
288,77.97193341,288
289,78.21984494,289
290,78.46625398,290
291,78.52034377,291
292,78.48353266,292
293,78.52109502,293
294,78.57293107,294
295,78.24538734,295
296,78.35582066,296
297,77.98169962,297
298,78.12593906,298
299,78.31450207,299
300,78.5128313,300
301,78.81858886,301
302,78.88920608,302
303,78.99663441,303
304,79.18444618,304
305,79.38202416,305
306,79.49621371,306
307,79.85380732,307
308,79.82751367,308
309,80.45705872,309
310,80.30906304,310
311,80.52917844,311
312,80.60730813,312
313,80.7312639,313
314,81.05354889,314
315,81.24661939,315
316,81.33601779,316
317,81.75972114,317
318,82.01514514,318
319,81.93851794,319
320,81.94452792,320
321,81.66130777,321
322,81.67633271,322
323,81.63801911,323
324,81.59970551,324
325,81.59970551,325
326,81.58392932,326
327,81.79653224,327
328,81.85212453,328
329,82.12858345,329
330,82.13684717,330
331,82.46664463,331
332,82.57933169,332
333,83.2817477,333
334,83.30203137,334
335,83.63783881,335
336,83.90302903,336
337,84.47022057,337
338,84.56788269,338
339,84.66854979,339
340,84.79701304,340
341,84.94350622,341
342,84.9863273,342
343,84.82856542,343
344,84.78574434,344
345,84.47322555,345
346,84.59868382,346
347,84.6670473,347
348,84.69709718,348
349,84.86462528,349
350,84.96529239,350
351,85.12605926,351
352,85.31311978,352
353,85.5895787,353
354,85.60310115,354
355,86.02905824,355
356,86.11019292,356
357,86.74499669,357
358,86.7833103,358
359,87.14315764,359
360,87.23556103,360
361,87.07254042,361
362,87.14691388,362
363,87.23856602,363
364,87.31143699,364
365,87.46844762,365
366,87.79223511,366
367,87.3963279,367
368,87.41210409,368
369,86.94858465,369
370,86.98539576,370
371,87.10033656,371
372,87.12512771,372
373,87.20701364,373
374,87.27537713,374
375,87.37604423,375
376,87.47370635,376
377,87.75392151,377
378,87.75091652,378
379,88.15658994,379
380,88.25199832,380
381,88.71176152,381
382,88.65992548,382
383,88.88830459,383
384,89.2045796,384
385,89.22861951,385
386,89.54414328,386
387,89.79956728,387
388,89.7552437,388
389,89.84163712,389
390,89.97761284,390
391,89.6673478,391
392,89.58395937,392
393,89.15048981,393
394,89.29998798,394
395,89.32027165,395
396,89.32778412,396
397,89.57569565,397
398,89.53888455,398
399,89.81985095,399
400,89.79881603,400
401,90.2818679,401
402,90.43361981,402
403,90.87986057,403
404,90.93244786,404
405,91.63411263,405
406,91.59955526,406
407,91.98043753,407
408,92.09838332,408
409,93.49194663,409
410,93.71581826,410
411,94.02833704,411
412,94.26122363,412
413,94.59177234,413
414,94.85245508,414
415,94.70971813,415
416,94.96814712,416
417,94.64736463,417
418,94.80362402,418
419,94.94711221,419
420,94.97941583,420
421,95.20328746,421
422,95.44293527,422
423,95.73742412,423
424,95.84935994,424
425,96.17615241,425
426,96.01012681,426
427,96.60436324,427
428,96.79142376,428
429,97.67714406,429
430,97.71245267,430
431,98.13765851,431
432,98.40810746,432
433,98.64249654,433
434,98.94750285,434
435,99.15033956,435
436,99.19316065,436
437,99.48539576,437
438,99.49816696,438
439,99.1540958,439
440,99.15634954,440
441,98.86787067,441
442,99.12104093,442
443,99.25401166,443
444,99.4989182,444
445,99.81894946,445
446,100,446
447,100.343,447
448,100.641,448
449,100.865,449
450,100.97,450
451,101.372,451
452,101.509,452
453,102.132,453
454,102.473,454
455,103.049,455
456,102.992,456
457,103.105,457
458,103.112,458
459,103.009,459
460,103.15,460
461,103.415,461
462,103.537,462
463,103.501,463
464,103.562,464
465,103.25,465
466,103.216,466
467,103.225,467
468,103.373,468
469,103.654,469
470,103.72,470
471,103.642,471
472,103.697,472
473,103.877,473
474,104.007,474
475,104.42,475
476,104.587,476
477,105.299,477
478,105.393,478
479,105.763,479
480,106.105,480
481,106.388,481
482,106.506,482
483,106.636,483
484,107.141,484
485,107.254,485
486,106.422,486
487,105.655,487
488,105.854,488
489,106.167,489
490,106.158,490
491,106.495,491
492,106.991,492
493,107.371,493
494,107.517,494
495,107.777,495
496,107.956,496
497,108.132,497
498,108.097,498
499,108.686,499
500,108.862,500
501,108.91,501
502,108.801,502
503,109.168,503
504,109.374,504
